"SpeciesCode","Axis1","Axis2","Axis3","Axis4","SpeciesName","FG","TempNiche"
"Sp63",0.0756796804224571,1.70817709343042,-0.528946248229358,-0.687719774047049,"Leontodon_pyrenaicus","Forb",4.77883944985406
"Sp64",2.00076163707427,1.69163336092258,-0.609059200808935,0.329260190761562,"Leucanthemopsis_alpina","Forb",3.80643230115361
"Sp65",-1.97981394483985,1.16948277722135,0.615911755536316,0.107311714908222,"Leucanthemum_vulgare","Forb",6.59169760886329
"Sp66",0.795413090705423,0.173247660603481,-2.25109252385048,-0.595053869152374,"Lotus_alpinus","Legumes",4.80165976764979
"Sp67",-0.643310508780974,-0.374635472461212,-1.17290015547293,0.719700916940901,"Lotus_corniculatus","Legumes",6.67133669862519
"Sp68",0.267126691793694,-0.777706895014888,0.690767754474448,0.448788158948169,"Luzula_campestris","Grass",6.68948848980077
"Sp69",0.0976427656319814,-1.02816515230502,0.224987835889036,-0.173105675444747,"Luzula_lutea","Grass",5.11376858325671
"Sp70",-0.580618503333392,-1.34205624946372,0.502587926877264,0.922411595155147,"Luzula_nutans","Grass",6.70925870340315
"Sp71",-0.882067853706897,-1.54158619236206,0.569712406655524,-0.778922256249894,"Meum_athamanticum","Forb",7.16548401045838
"Sp72",0.454525016288941,2.06421557986251,1.04036072823436,0.433768790795372,"Myosotis_alpestris","Forb",5.94858606557377
"Sp73",-2.46864831793254,0.721055387479685,0.455571024507193,-0.850145165289954,"Myosotis_arvensis","Forb",8.26468715985728
"Sp74",2.56419657382895,-0.831553966057961,1.91689157685605,-0.409500877283033,"Nardus_stricta","Grass",5.55867713673163
"Sp75",-2.22227767455496,-1.39971069848781,-0.745094741494399,0.378263780892367,"Onobrychis_montana","Legumes",6.68948848980077
"Sp76",0.578005896732791,1.18426599759102,1.0750233338942,0.724413753736442,"Pedicularis_rostratospicata","Forb",5.94858606557377
"Sp77",-0.419118360543602,-0.473979132920448,1.54898111236773,0.356465128368645,"Phleum_alpinum","Grass",6.03555973050545
"Sp78",0.189608922325802,0.693162969826813,-0.77682263098738,1.26130618723119,"Phyteuma_orbiculare","Forb",6.1955535403161
"Sp79",1.18117620990502,0.851738904262219,-0.258645383246643,0.404712021988503,"Plantago_alpina","Forb",4.09864051093897
"Sp80",0.762749554636233,0.633989105810337,0.458563384259375,0.773382075888519,"Plantago_maritima","Forb",5.88779100122163
"Sp81",-2.46070636600441,2.27921858129629,0.865703079248153,-0.635458940183306,"Plantago_media","Forb",8.26468715985728
"Sp82",-0.128248286872441,-0.726011471085471,0.667991854853256,-0.34281269929342,"Poa_alpina","Grass",5.387981282199
"Sp83",-0.454767620974336,-0.84884723639257,2.28535757951232,0.0720851751886498,"Poa_chaixii","Grass",6.66528610156667
"Sp84",-1.16900529191299,-0.695402105415648,1.35579918580668,1.42613981485751,"Poa_pratensis","Grass",8.0021540481812
"Sp85",0.445652526527271,-0.795061362625875,-0.494838204902219,-0.607706832333768,"Polygonum_viviparum","Forb",5.85318257557448
"Sp86",1.37439596391349,1.1030504839508,-0.0460595820712749,-0.146819359693456,"Potentilla_aurea","Forb",5.65642603427002
"Sp87",1.22831795480209,-0.700014829883397,0.151298206242147,-0.806167414674997,"Potentilla_grandiflora","Forb",5.11376858325671
"Sp88",0.51284051351041,-1.34296155363823,-0.647830128539024,-1.51816000678843,"Potentilla_heptaphylla","Forb",5.94858606557377
"Sp89",-1.57461926334762,1.4060281986412,-0.159022698327187,0.0587097067578287,"Pulmonaria_angustifolia","Forb",6.92852404769651
