"Tmin_phi1","l_phi1","c_phi1","Tmin_phi2","l_phi2","c_phi2","Tmin_a","l_a","c_a","Tmin_b","l_b","Lposterior","Llikelihood","Lprior"
-0.979494674352299,0.951291910672265,0.632253027110959,2.39017711949085,4.52365221787402,6.50513284126668,0.908521696010046,0.341021559232051,1.20309639178654,-2.35003595980559,-6.41521120746767,-3242.98361949161,-3238.27012759167,-4.71349189993491
-0.974343529834642,0.93810022758346,0.605231082888367,2.33021465768197,4.47903052604009,6.37817143957565,0.955658458502088,0.380185716756826,1.15441681042114,-2.23958953634754,-6.75148778520328,-3236.69950318144,-3231.64619972476,-5.05330345668607
-0.980763614346868,0.95622416173846,0.568198921913361,2.22951364542386,4.53277141444726,6.43669140050379,0.844231985703628,0.293024402841198,1.04696734194026,-2.55799988369748,-6.252213756279,-3237.92644191505,-3232.70547583879,-5.22096607625657
-0.971938716886627,0.929321862725044,0.556754393545067,2.13114100646053,4.4374192813788,6.38500597195596,0.835433910733483,0.307832475576099,1.10445630651467,-2.358729750285,-6.43487021157714,-3243.25756179135,-3238.5828562339,-4.67470555744767
-0.973253568637429,0.941583533200374,0.59418801558277,2.25125524292526,4.5542102812182,6.38386478308914,0.933500258495097,0.362187741730383,1.07332826623174,-2.32058135684789,-6.57760754624739,-3235.15778298671,-3230.45244881067,-4.70533417604227
-0.974343529834642,0.93810022758346,0.605231082888367,2.33021465768197,4.47903052604009,6.37817143957565,0.955658458502088,0.380185716756826,1.15441681042114,-2.23958953634754,-6.75148778520328,-3236.69950318144,-3231.64619972476,-5.05330345668607
-0.97228311113007,0.949430645767836,0.521680206438434,2.33668477533055,4.64582346336796,6.4502332248838,0.950749695624905,0.334416392932457,1.07766219946274,-2.58164447280928,-6.44328331590586,-3236.88855275121,-3231.98497892522,-4.90357382598543
-0.974054890880719,0.934717410466827,0.591743523672291,2.41251130431905,4.55538991815049,6.4590696432782,0.91083422437941,0.368828719466442,1.22585929956198,-2.15342069647068,-6.70934490925742,-3241.10536148723,-3235.9806917956,-5.12466969162999
-0.977557010421841,0.953166745732067,0.598334553793538,2.39582990862258,4.58161764424231,6.40944805742558,0.903362270096802,0.343861098175974,1.07467935861964,-2.33025872212829,-6.54345082634067,-3234.24729762787,-3229.61822169532,-4.62907593254111
-0.964345905764752,0.925353488951502,0.557936506913971,2.26585613108171,4.64334262522591,6.40724185539337,0.932789819122943,0.356213356081878,1.15927612602886,-2.3484315674318,-6.6277029919156,-3239.73742693764,-3235.02300728468,-4.71441965295418
-0.977140208737151,0.950536081085394,0.584794112079912,2.10978239321692,4.50489768883392,6.36653663350494,0.86399849337118,0.303621931285116,1.10149891008245,-2.48893182716079,-6.26707274439458,-3238.6294113493,-3233.68633555519,-4.9430757941033
-0.973288364113723,0.941171244961223,0.555359904752867,2.30560414029027,4.58310524548867,6.39703056840944,0.950718980848504,0.367052406585065,1.12847239421113,-2.3423804650102,-6.61469787351278,-3236.02167937112,-3231.28974242703,-4.7319369440881
-0.972289173807726,0.935233179267119,0.627509063903329,2.16171304547565,4.52475202796294,6.41440248744812,0.943528993054309,0.349070713757661,1.14577265168884,-2.39612273240087,-6.44088840114961,-3237.53302741159,-3232.86093278907,-4.67209462252376
-0.964345905764752,0.925353488951502,0.557936506913971,2.26585613108171,4.64334262522591,6.40724185539337,0.932789819122943,0.356213356081878,1.15927612602886,-2.3484315674318,-6.6277029919156,-3239.73742693764,-3235.02300728468,-4.71441965295418
-0.978566371109932,0.946917070877774,0.57566262442082,2.401329630479,4.50743500304716,6.42312963203321,0.965323967208366,0.404424996077488,1.10301365284229,-2.16411176654121,-6.8065485359829,-3238.17140763238,-3232.80691256913,-5.36449506325431
-0.967550873440403,0.930380739803889,0.641260565052633,2.22657333341877,4.58005702258247,6.35961309200556,0.879485008774113,0.33510341300219,1.151618628181,-2.27597483036254,-6.60658869655524,-3237.68275694154,-3233.02236452082,-4.66039242072053
-0.970850526303447,0.956877718827028,0.479981747565867,2.29112208604962,4.78537116307442,6.42146490573218,1.00153733674646,0.327866881466157,1.04390873150801,-2.87565965497965,-5.97970125070514,-3244.9950452567,-3237.89484686504,-7.1001983916637
-0.982519923825806,0.958184150567367,0.582905650228674,2.4068873592848,4.49201286308838,6.41154070235015,0.958799460231598,0.373434004741437,1.1191552872887,-2.32161599750107,-6.61719462308614,-3235.89410200918,-3231.12354501639,-4.77055699278466
-0.970865934913335,0.942553910088664,0.575191518909154,2.37887769023295,4.64894653710652,6.43108158756953,0.938661639023562,0.335223680406402,1.13640798954718,-2.46359596352365,-6.50030016165748,-3236.69966382008,-3232.01604185001,-4.68362197007341
-0.971718842785242,0.931918958336059,0.637812108471881,2.34375516245088,4.56127271092273,6.44131728387105,0.905310973657118,0.355420282636535,1.25004937319567,-2.1558817577624,-6.67369482956551,-3240.81480380523,-3235.69492449097,-5.11987931425997
-0.973460717194914,0.941458809765912,0.579967800327732,2.19074892449755,4.54037580497356,6.41646623386706,0.962360411469975,0.352089941612771,1.06385749805512,-2.49422436112703,-6.51214967229065,-3237.12924336981,-3232.31248210825,-4.81676126155794
-0.982519923825806,0.958184150567367,0.582905650228674,2.4068873592848,4.49201286308838,6.41154070235015,0.958799460231598,0.373434004741437,1.1191552872887,-2.32161599750107,-6.61719462308614,-3235.89410200918,-3231.12354501639,-4.77055699278466
-0.978066867503285,0.960036430691413,0.577047439685506,2.35378221012814,4.56190822880405,6.36670460260449,0.890305227209845,0.302649510741215,1.12002108968858,-2.55761193681662,-6.31986236298573,-3237.2818357184,-3232.33316339667,-4.94867232173114
-0.974684231933768,0.943287583872373,0.602396495585592,2.35468200123937,4.56730394603692,6.42663041735864,0.940117994712407,0.370604240474551,1.13203770317844,-2.25326107357384,-6.62150565313947,-3234.85166087906,-3230.07979526676,-4.77186561229982
-0.981210643692347,0.956395326037737,0.599077071683402,2.32114445479102,4.50172139242438,6.45742197826568,0.914432729309436,0.322509922366869,1.1547098247036,-2.47338270042392,-6.33788853083825,-3234.82982920603,-3230.03775387068,-4.79207533535126
-0.97398303108532,0.941550955081361,0.650215060560501,2.3005859953179,4.55337152182147,6.33831928318348,0.890426874738379,0.341685132168168,1.15163193481187,-2.2267556403426,-6.61867530723662,-3235.70355275995,-3230.98390459518,-4.71964816477166
-0.980926881416848,0.940654639668338,0.562934454408975,2.05788966994467,4.41707405818729,6.45606755994702,0.835473552467356,0.294516202492786,1.07690486501034,-2.52841327269714,-6.30764274043576,-3241.66207167199,-3236.65011817752,-5.01195349446806
