"FPR","TPR","Model"
0.913961038961039,0.980487804878049,"jSDM-LVM"
0.913149350649351,0.980487804878049,"jSDM-LVM"
0.912337662337662,0.980487804878049,"jSDM-LVM"
0.911525974025974,0.980487804878049,"jSDM-LVM"
0.910714285714286,0.980487804878049,"jSDM-LVM"
0.909902597402597,0.980487804878049,"jSDM-LVM"
0.909090909090909,0.980487804878049,"jSDM-LVM"
0.908279220779221,0.980487804878049,"jSDM-LVM"
0.907467532467532,0.980487804878049,"jSDM-LVM"
0.906655844155844,0.980487804878049,"jSDM-LVM"
0.905844155844156,0.980487804878049,"jSDM-LVM"
0.905032467532468,0.980487804878049,"jSDM-LVM"
0.904220779220779,0.980487804878049,"jSDM-LVM"
0.903409090909091,0.980487804878049,"jSDM-LVM"
0.902597402597403,0.980487804878049,"jSDM-LVM"
0.901785714285714,0.980487804878049,"jSDM-LVM"
0.900974025974026,0.980487804878049,"jSDM-LVM"
0.900162337662338,0.980487804878049,"jSDM-LVM"
0.899350649350649,0.980487804878049,"jSDM-LVM"
0.898538961038961,0.980487804878049,"jSDM-LVM"
0.897727272727273,0.980487804878049,"jSDM-LVM"
0.896915584415584,0.980487804878049,"jSDM-LVM"
0.896103896103896,0.980487804878049,"jSDM-LVM"
0.895292207792208,0.980487804878049,"jSDM-LVM"
0.894480519480519,0.980487804878049,"jSDM-LVM"
0.893668831168831,0.980487804878049,"jSDM-LVM"
0.892857142857143,0.980487804878049,"jSDM-LVM"
0.892045454545455,0.980487804878049,"jSDM-LVM"
0.891233766233766,0.980487804878049,"jSDM-LVM"
0.890422077922078,0.980487804878049,"jSDM-LVM"
0.88961038961039,0.980487804878049,"jSDM-LVM"
0.888798701298701,0.980487804878049,"jSDM-LVM"
0.887987012987013,0.980487804878049,"jSDM-LVM"
0.887175324675325,0.980487804878049,"jSDM-LVM"
0.886363636363636,0.980487804878049,"jSDM-LVM"
0.885551948051948,0.980487804878049,"jSDM-LVM"
0.88474025974026,0.980487804878049,"jSDM-LVM"
0.883928571428571,0.980487804878049,"jSDM-LVM"
0.883116883116883,0.980487804878049,"jSDM-LVM"
0.883116883116883,0.979268292682927,"jSDM-LVM"
0.882305194805195,0.979268292682927,"jSDM-LVM"
0.881493506493507,0.979268292682927,"jSDM-LVM"
0.880681818181818,0.979268292682927,"jSDM-LVM"
0.87987012987013,0.979268292682927,"jSDM-LVM"
0.879058441558442,0.979268292682927,"jSDM-LVM"
0.879058441558442,0.978048780487805,"jSDM-LVM"
0.879058441558442,0.976829268292683,"jSDM-LVM"
0.878246753246753,0.976829268292683,"jSDM-LVM"
0.877435064935065,0.976829268292683,"jSDM-LVM"
0.876623376623377,0.976829268292683,"jSDM-LVM"
0.875811688311688,0.976829268292683,"jSDM-LVM"
0.875,0.976829268292683,"jSDM-LVM"
0.874188311688312,0.976829268292683,"jSDM-LVM"
0.873376623376623,0.976829268292683,"jSDM-LVM"
0.872564935064935,0.976829268292683,"jSDM-LVM"
0.872564935064935,0.975609756097561,"jSDM-LVM"
0.872564935064935,0.974390243902439,"jSDM-LVM"
0.871753246753247,0.974390243902439,"jSDM-LVM"
0.870941558441558,0.974390243902439,"jSDM-LVM"
0.87012987012987,0.974390243902439,"jSDM-LVM"
0.869318181818182,0.974390243902439,"jSDM-LVM"
0.868506493506493,0.974390243902439,"jSDM-LVM"
0.867694805194805,0.974390243902439,"jSDM-LVM"
0.866883116883117,0.974390243902439,"jSDM-LVM"
0.866071428571429,0.974390243902439,"jSDM-LVM"
0.86525974025974,0.974390243902439,"jSDM-LVM"
0.864448051948052,0.974390243902439,"jSDM-LVM"
0.863636363636364,0.974390243902439,"jSDM-LVM"
0.862824675324675,0.974390243902439,"jSDM-LVM"
0.862012987012987,0.974390243902439,"jSDM-LVM"
0.861201298701299,0.974390243902439,"jSDM-LVM"
0.86038961038961,0.974390243902439,"jSDM-LVM"
0.859577922077922,0.974390243902439,"jSDM-LVM"
0.858766233766234,0.974390243902439,"jSDM-LVM"
0.857954545454545,0.974390243902439,"jSDM-LVM"
0.857954545454545,0.973170731707317,"jSDM-LVM"
0.857142857142857,0.973170731707317,"jSDM-LVM"
0.856331168831169,0.973170731707317,"jSDM-LVM"
0.855519480519481,0.973170731707317,"jSDM-LVM"
0.854707792207792,0.973170731707317,"jSDM-LVM"
0.853896103896104,0.973170731707317,"jSDM-LVM"
0.853084415584416,0.973170731707317,"jSDM-LVM"
0.852272727272727,0.973170731707317,"jSDM-LVM"
0.851461038961039,0.973170731707317,"jSDM-LVM"
0.850649350649351,0.973170731707317,"jSDM-LVM"
0.849837662337662,0.973170731707317,"jSDM-LVM"
0.849025974025974,0.973170731707317,"jSDM-LVM"
0.848214285714286,0.973170731707317,"jSDM-LVM"
0.847402597402597,0.973170731707317,"jSDM-LVM"
0.846590909090909,0.973170731707317,"jSDM-LVM"
0.845779220779221,0.973170731707317,"jSDM-LVM"
0.844967532467533,0.973170731707317,"jSDM-LVM"
0.844155844155844,0.973170731707317,"jSDM-LVM"
0.843344155844156,0.973170731707317,"jSDM-LVM"
0.842532467532467,0.973170731707317,"jSDM-LVM"
0.841720779220779,0.973170731707317,"jSDM-LVM"
0.840909090909091,0.973170731707317,"jSDM-LVM"
0.840097402597403,0.973170731707317,"jSDM-LVM"
0.839285714285714,0.973170731707317,"jSDM-LVM"
0.838474025974026,0.973170731707317,"jSDM-LVM"
0.837662337662338,0.973170731707317,"jSDM-LVM"
0.836850649350649,0.973170731707317,"jSDM-LVM"
0.836038961038961,0.973170731707317,"jSDM-LVM"
0.836038961038961,0.971951219512195,"jSDM-LVM"
0.835227272727273,0.971951219512195,"jSDM-LVM"
0.834415584415584,0.971951219512195,"jSDM-LVM"
0.833603896103896,0.971951219512195,"jSDM-LVM"
0.833603896103896,0.970731707317073,"jSDM-LVM"
0.832792207792208,0.970731707317073,"jSDM-LVM"
0.832792207792208,0.969512195121951,"jSDM-LVM"
0.831980519480519,0.969512195121951,"jSDM-LVM"
0.831168831168831,0.969512195121951,"jSDM-LVM"
0.830357142857143,0.969512195121951,"jSDM-LVM"
0.829545454545455,0.969512195121951,"jSDM-LVM"
0.829545454545455,0.968292682926829,"jSDM-LVM"
0.828733766233766,0.968292682926829,"jSDM-LVM"
0.827922077922078,0.968292682926829,"jSDM-LVM"
0.82711038961039,0.968292682926829,"jSDM-LVM"
0.826298701298701,0.968292682926829,"jSDM-LVM"
0.825487012987013,0.968292682926829,"jSDM-LVM"
0.824675324675325,0.968292682926829,"jSDM-LVM"
0.823863636363636,0.968292682926829,"jSDM-LVM"
0.823051948051948,0.968292682926829,"jSDM-LVM"
0.82224025974026,0.968292682926829,"jSDM-LVM"
0.82224025974026,0.967073170731707,"jSDM-LVM"
0.821428571428571,0.967073170731707,"jSDM-LVM"
0.821428571428571,0.965853658536585,"jSDM-LVM"
0.821428571428571,0.964634146341463,"jSDM-LVM"
0.820616883116883,0.964634146341463,"jSDM-LVM"
0.819805194805195,0.964634146341463,"jSDM-LVM"
0.818993506493507,0.964634146341463,"jSDM-LVM"
0.818181818181818,0.964634146341463,"jSDM-LVM"
